XCameraLogicController             entry@0x70bb30  [CODE:0x70bb14 | 0x28 | CODE:0x52da00 | CODE:0x6fbc8c | CODE:0x70bb00 | 0x18]
XCameraLogicMode                   entry@0x70bb40  [CODE:0x70bb00 | 0x18 | CODE:0x52da80 | CODE:0x6faff8 | CODE:0x70bae8 | 0x1ad8]
XCameraManager                     entry@0x70a8dc  [CODE:0x70a8c8 | 0x12c | CODE:0x515ce0 | 0x3ccccccd | 0x3f7ae148 | 0x3ec00000]
XCameraMode_Climb                  entry@0x70afc0  [CODE:0x70aee0 | 0x12c | CODE:0x5271f0 | CODE:0x70afbc | CODE:0x70aec8 | 0x138]
XCameraMode_ClimbRotate            entry@0x70afd0  [CODE:0x70aec8 | 0x138 | CODE:0x527270 | CODE:0x70af7c | CODE:0x70aeb4 | 0x128]
XCameraMode_Conversation           entry@0x70acb0  [CODE:0x70ac40 | 0x18 | CODE:0x518ec0 | CODE:0x70bb3c | CODE:0x70ac28 | 0x18]
XCameraMode_Cutscene               entry@0x70ac90  [CODE:0x70ac74 | 0x18 | CODE:0x5198c0 | CODE:0x70bb3c | CODE:0x70ac5c | 0x1c]
XCameraMode_Dash                   entry@0x70b050  [CODE:0x70ae18 | 0x140 | CODE:0x527670 | CODE:0x70af7c | CODE:0x70ae00 | 0x128]
XCameraMode_Fly                    entry@0x70afb0  [CODE:0x70aef4 | 0x1b0 | CODE:0x527160 | CODE:0x70af7c | CODE:0x70aee0 | 0x12c]
XCameraMode_GrappleFly             entry@0x70b030  [CODE:0x70ae3c | 0x144 | CODE:0x527570 | CODE:0x70af7c | CODE:0x70ae2c | 0x13c]
XCameraMode_Initialise             entry@0x70aa1c  [CODE:0x70a940 | 0x18 | CODE:0x517a50 | CODE:0x8cbb10 | CODE:0x515dd0 | CODE:0x592b80]
XCameraMode_Jetpack                entry@0x70b000  [CODE:0x70ae88 | 0x128 | CODE:0x5273f0 | CODE:0x70af7c | CODE:0x70ae70 | 0x128]
XCameraMode_ManualDebug            entry@0x70aa0c  [CODE:0x70a958 | 0x18 | CODE:0x5179d0 | CODE:0x70bb3c | CODE:0x70a940 | 0x18]
XCameraMode_RDV                    entry@0x70b040  [CODE:0x70ae2c | 0x13c | CODE:0x5275f0 | CODE:0x70af7c | CODE:0x70ae18 | 0x140]
XCameraMode_RDVInside              entry@0x70b060  [CODE:0x70ae00 | 0x128 | CODE:0x5276f0 | 0x3e99999a | 0x3d4ccccd | 0x0]
XCameraMode_Scan                   entry@0x70a9fc  [CODE:0x70a970 | 0x18 | CODE:0x517950 | CODE:0x70bb3c | CODE:0x70a958 | 0x18]
XCameraMode_SecondPad              entry@0x70a9ec  [CODE:0x70a984 | 0x30 | CODE:0x5178d0 | CODE:0x70bb3c | CODE:0x70a970 | 0x18]
XCameraMode_Test                   entry@0x70a9cc  [CODE:0x70a9b4 | 0x18 | CODE:0x517ad0 | CODE:0x70bb3c | CODE:0x70a99c | 0x18]
XCameraMode_Third                  entry@0x70af80  [CODE:0x70af38 | 0x128 | CODE:0x526fe0 | CODE:0x70af6c | CODE:0x70af1c | 0x12c]
XCameraMode_ThirdBase              entry@0x70af70  [CODE:0x70af4c | 0xec | CODE:0x526f60 | CODE:0x70af6c | CODE:0x70af38 | 0x128]
XCameraMode_ThirdPassive           entry@0x70b020  [CODE:0x70ae54 | 0x128 | CODE:0x5274f0 | CODE:0x70b00c | CODE:0x70ae3c | 0x144]
XCameraMode_ThirdScan              entry@0x70b010  [CODE:0x70ae70 | 0x128 | CODE:0x527470 | CODE:0x70af7c | CODE:0x70ae54 | 0x128]
XCameraMode_ThirdShooter           entry@0x70af90  [CODE:0x70af1c | 0x12c | CODE:0x527060 | CODE:0x70af8c | CODE:0x70af04 | 0x140]
XCameraMode_ThirdStrafe            entry@0x70afa0  [CODE:0x70af04 | 0x140 | CODE:0x5270e0 | CODE:0x70af7c | CODE:0x70aef4 | 0x1b0]
XCameraMode_TiltTest               entry@0x70a9dc  [CODE:0x70a99c | 0x18 | CODE:0x517850 | CODE:0x70bb3c | CODE:0x70a984 | 0x30]
XCameraMode_Tracking               entry@0x70acc0  [CODE:0x70ac28 | 0x18 | CODE:0x518f40 | 0x0 | CODE:0x8cbd3c | CODE:0x517ba0]
XCameraMode_Vacuum                 entry@0x70afe0  [CODE:0x70aeb4 | 0x128 | CODE:0x5272f0 | CODE:0x70af8c | CODE:0x70ae9c | 0x12c]
XCameraMode_VacuumAim              entry@0x70aff0  [CODE:0x70ae9c | 0x12c | CODE:0x527370 | CODE:0x70af7c | CODE:0x70ae88 | 0x128]
XCameraMode_ViewObject             entry@0x70aca0  [CODE:0x70ac5c | 0x1c | CODE:0x518e40 | CODE:0x70bb3c | CODE:0x70ac40 | 0x18]
XController_GPig                   entry@0x7182b4  [CODE:0x71829c | 0x98 | CODE:0x5bc600 | CODE:0x717c44 | CODE:0x718284 | 0x10]
XEnemyDeathMode_Respawn            entry@0x706f98  [CODE:0x706e3c | 0x10 | CODE:0x5009b0 | CODE:0x8c9110 | CODE:0x4ffe20 | CODE:0x4ffe30]
XGPigBlockReactionMode             entry@0x6ff5d0  [CODE:0x6ff580 | 0x10 | CODE:0x4d5fb0 | CODE:0x6ff5cc | CODE:0x6ff560 | 0x10]
XGPigBlockReactionMode_Active      entry@0x6ff5f0  [CODE:0x6ff540 | 0x10 | CODE:0x4d60b0 | CODE:0x6ff5ec | CODE:0x6ff51c | 0x10]
XGPigBlockReactionMode_Active_Upper entry@0x6ff600  [CODE:0x6ff51c | 0x10 | CODE:0x4d6130 | 0x0 | CODE:0x8c36c0 | CODE:0x4d5d40]
XGPigBlockReactionMode_Inactive    entry@0x6ff5e0  [CODE:0x6ff560 | 0x10 | CODE:0x4d6030 | CODE:0x6ff5cc | CODE:0x6ff540 | 0x10]
XGPigCarriedMode                   entry@0x6ff820  [CODE:0x6ff7dc | 0x10 | CODE:0x4d65d0 | CODE:0x6ff81c | CODE:0x6ff7c0 | 0x10]
XGPigCarriedMode_Carried           entry@0x6ff840  [CODE:0x6ff7a4 | 0x14 | CODE:0x4d66d0 | 0x0 | CODE:0x8c38c0 | CODE:0x4d63f0]
XGPigCarriedMode_Inactive          entry@0x6ff830  [CODE:0x6ff7c0 | 0x10 | CODE:0x4d6650 | CODE:0x6ff81c | CODE:0x6ff7a4 | 0x14]
XGPigClimbMode                     entry@0x6ffaa4  [CODE:0x6ffa64 | 0x10 | CODE:0x4d8f10 | CODE:0x6fbde0 | CODE:0x6ffa4c | 0x10]
XGPigClimbMode_Drop                entry@0x6ffae4  [CODE:0x6ffa0c | 0x14 | CODE:0x4d9110 | CODE:0x6ffaa0 | CODE:0x6ff9f8 | 0x14]
XGPigClimbMode_Idle                entry@0x6ffb04  [CODE:0x6ff9e4 | 0x10 | CODE:0x4d9210 | CODE:0x6ffaa0 | CODE:0x6ff9d0 | 0x10]
XGPigClimbMode_IdleToMove          entry@0x6ffb34  [CODE:0x6ff9a0 | 0x10 | CODE:0x4d9390 | CODE:0x6ffaa0 | CODE:0x6ff984 | 0x10]
